lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Mirijevo 1,3,80,I-II,NE,DA,DA,NA,DA,1,987.5,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Cukaricka padina,2,40,V+,DA,DA,DA,NA,DA,2,987.5,.9-1.1K,"Cukaricka padina, Beograd, Srbija",44.7779587,20.4071484
Cukaricka padina,2,40,V+,DA,DA,DA,NA,DA,2,987.5,.9-1.1K,"Cukaricka padina, Beograd, Srbija",44.7779587,20.4071484
Žarkovo,3,80,III-IV,DA,NE,NA,NA,NA,2,987.5,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
Karaburma,3,78,III-IV,NE,NE,NA,DA,DA,1,987.1794872,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Kumodraž 2,3,76,I-II,NA,DA,NA,NA,NA,NA,986.8421053,.9-1.1K,"Kumodraž 2, Beograd, Srbija",44.75122455,20.50100664
Mirijevo 1,4,70,I-II,DA,NE,NA,NA,DA,2,985.7142857,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
"Zemun, Nova Galenika",3,67,V+,NA,DA,DA,NA,DA,2,985.0746269,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
"Zemun, Novi grad",2,66,I-II,NE,NE,NA,NE,DA,NA,984.8484848,.9-1.1K,"Zemun, Novi grad, Beograd, Srbija",44.8367127,20.3717998
"Zemun, Nova Galenika",2,65,I-II,NA,DA,DA,DA,DA,NA,984.6153846,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Labudovo brdo,3,63,I-II,NE,DA,NA,NA,NA,1,984.1269841,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Kanarevo brdo,3,61,V+,NE,DA,DA,NE,DA,NA,981.9672131,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Kanarevo brdo,2,55,I-II,NE,DA,NA,NE,DA,NA,981.8181818,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Karaburma,2,54,I-II,NA,NE,NA,NA,NE,1,981.4814815,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Kumodraž 2,2,51,P,NE,DA,DA,NA,DA,1,980.3921569,.9-1.1K,"Kumodraž 2, Beograd, Srbija",44.75122455,20.50100664
Mirijevo 1,2,51,III-IV,NE,DA,NA,NA,DA,1,980.3921569,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Višnjicka banja,4,102,I-II,DA,NE,NA,DA,NA,0,980.3921569,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
"Zemun, Nova Galenika",3,51,I-II,NA,NE,NA,NA,NA,1,980.3921569,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Julino brdo,2,50,I-II,NA,DA,NE,NA,DA,NA,980,.9-1.1K,"Julino brdo, Beograd, Srbija",44.7679761,20.4098406
Medakovic 1,2,50,I-II,NE,DA,DA,DA,NA,NA,980,.9-1.1K,"Medakovic 1, Beograd, Srbija",44.7744304,20.4994217
Medakovic 1,2,50,I-II,NE,DA,DA,DA,NA,NA,980,.9-1.1K,"Medakovic 1, Beograd, Srbija",44.7744304,20.4994217
"Zemun, Kalvarija",2,53,I-II,NE,NE,NA,NA,DA,1,979.245283,.9-1.1K,"Zemun, Kalvarija, Beograd, Srbija",44.84404465,20.39151464
Mirijevo 1,2,47,I-II,DA,NE,NA,NA,NA,1,978.7234043,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Labudovo brdo,2,51,V+,NA,DA,DA,NA,NA,NA,978.4313725,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Vidikovac,3,92,V+,NA,DA,DA,DA,DA,1,978.2608696,.9-1.1K,"Vidikovac, Beograd, Srbija",44.7410032,20.423297
"Konjarnik, Denkova basta",1,45,III-IV,DA,DA,NA,NA,DA,1,977.7777778,.9-1.1K,"Konjarnik, Denkova basta, Beograd, Srbija",44.7862123,20.5068795
"Zemun, Nova Galenika",4,90,III-IV,NA,DA,DA,NA,DA,NA,977.7777778,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Labudovo brdo,3,88,V+,NA,DA,NA,NA,NA,NA,977.2727273,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Bele Vode,2,43,I-II,NA,NE,NA,NA,NA,NA,976.744186,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Julino brdo,3,85,I-II,NE,DA,DA,DA,DA,1,976.4705882,.9-1.1K,"Julino brdo, Beograd, Srbija",44.7679761,20.4098406
Medakovic 2,1,42,P,NA,DA,NA,NA,DA,NA,976.1904762,.9-1.1K,"Medakovic 2, Beograd, Srbija",44.7749523,20.4997118
Borca,1,41,III-IV,DA,NE,NA,NA,NA,2,975.6097561,.9-1.1K,"Borca, Beograd, Srbija",44.8773292,20.4570078
"Zemun, Kalvarija",2,41,P,NA,NE,NA,NA,DA,NA,975.6097561,.9-1.1K,"Zemun, Kalvarija, Beograd, Srbija",44.84404465,20.39151464
"Zemun, Kalvarija",3,41,P,NE,NE,NA,NA,NA,1,975.6097561,.9-1.1K,"Zemun, Kalvarija, Beograd, Srbija",44.84404465,20.39151464
Mirijevo 2,2,60,I-II,NE,DA,NA,DA,DA,2,975,.9-1.1K,"Mirijevo 2, Beograd, Srbija",44.7891144,20.532774
Medakovic 1,4,79,I-II,NE,NE,NA,NA,DA,1,974.6835443,.9-1.1K,"Medakovic 1, Beograd, Srbija",44.7744304,20.4994217
Medakovic 1,4,79,I-II,NE,NE,NA,NA,DA,1,974.6835443,.9-1.1K,"Medakovic 1, Beograd, Srbija",44.7744304,20.4994217
Petlovo brdo,2,39,I-II,DA,NE,NA,NA,NA,2,974.3589744,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
"Zemun, Novi grad",1,39,I-II,NE,NE,NA,DA,DA,NA,974.3589744,.9-1.1K,"Zemun, Novi grad, Beograd, Srbija",44.8367127,20.3717998
Labudovo brdo,1,38,V+,DA,DA,DA,NA,DA,NA,973.6842105,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Karaburma,1,37,P,DA,DA,NA,NA,NE,2,972.972973,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Petlovo brdo,3,77,P,NE,NE,NA,NE,DA,1,972.7272727,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Borca,3,70,V+,NE,DA,DA,NA,NA,1,971.4285714,.9-1.1K,"Borca, Beograd, Srbija",44.8773292,20.4570078
Petlovo brdo,3,70,I-II,NE,NE,NA,NA,DA,0,971.4285714,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Borca,1,41,P,NE,DA,NA,NA,NA,1,970.7317073,.9-1.1K,"Borca, Beograd, Srbija",44.8773292,20.4570078
Bele Vode,2,67,P,NA,DA,NA,NA,NA,1,970.1492537,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Labudovo brdo,3,67,V+,DA,DA,DA,DA,DA,NA,970.1492537,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
