lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Beli dvor,2,35,P,NA,DA,NA,NA,DA,NA,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,3,52,I-II,DA,DA,NA,NE,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,2,47,I-II,NA,NE,NA,DA,DA,NA,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,2,52,I-II,DA,DA,NA,DA,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Beli dvor,3,80,I-II,DA,DA,NA,DA,DA,2,2000,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Centar, Stari grad",3,65,I-II,NE,DA,DA,NA,DA,1,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",2,68,III-IV,DA,DA,DA,NA,DA,2,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",4,160,V+,NA,DA,DA,NA,DA,2,2000,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Crveni krst,2,34,III-IV,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Crveni krst,1,45,V+,NE,DA,DA,DA,DA,1,2000,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Djeram pijaca,1,34,III-IV,DA,DA,DA,NE,DA,2,2000,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Djeram pijaca,4,160,V+,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Donji Dorcol,1,27,V+,NE,NE,DA,DA,DA,1,2000,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,3,70,V+,NA,DA,DA,NA,DA,NA,2000,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
"Novi Beograd, Blokovi Sava",2,60,III-IV,NA,DA,DA,DA,DA,2,2000,1.7-2K,"Novi Beograd, Blokovi Sava, Beograd, Srbija",44.796768,20.393582
"Novi Beograd, Sava Centar",3,65,III-IV,NE,DA,NE,NE,DA,2,2000,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
Tašmajdan,2,58,V+,NE,DA,DA,NE,DA,1,2000,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",2,50,I-II,NE,NE,NA,NA,DA,1,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Hram",4,120,III-IV,DA,DA,DA,DA,DA,2,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Hram",1,36,V+,NA,DA,DA,NA,DA,1,2000,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Kalenic pijaca",1,43,III-IV,NE,DA,DA,NA,DA,1,2000,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Vukov Spomenik,1,32,III-IV,NE,NE,DA,NA,DA,NA,2000,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
"Vracar, Hram",4,90,I-II,DA,DA,DA,DA,DA,1,1994.444444,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Centar, Stari grad",3,115,I-II,NE,DA,NE,NA,DA,2,1991.304348,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Centar, Stari grad",2,42,III-IV,NE,DA,DA,DA,DA,2,1988.095238,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
"Vracar, Hram",2,53,I-II,NA,DA,NA,NA,DA,NA,1981.132075,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Beli dvor,2,51,I-II,NA,NE,NA,DA,DA,1,1980.392157,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Kalemegdan,3,90,I-II,NA,DA,DA,NA,DA,2,1977.777778,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Beli dvor,3,86,I-II,NE,DA,NA,NA,DA,1,1976.744186,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Lekino Brdo,3,81,III-IV,DA,DA,DA,NA,DA,1,1975.308642,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Kalemegdan,1,23,I-II,NE,NE,DA,NA,DA,1,1969.565217,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Slavija,2,35,III-IV,NE,NE,DA,NA,DA,NA,1968.571429,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Slavija,1,29,V+,NE,DA,DA,NA,DA,1,1965.517241,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Tašmajdan,2,42,III-IV,NE,NE,NE,NE,DA,1,1964.285714,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",3,84,I-II,NE,NE,DA,NA,DA,NA,1964.285714,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Kalenic pijaca",2,51,I-II,NE,NE,NA,NA,DA,1,1960.784314,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Tašmajdan,2,68,V+,DA,NE,NA,NA,DA,1,1955.882353,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Donji Dorcol,1,45,I-II,DA,DA,DA,NE,DA,2,1955.555556,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,1,45,I-II,DA,DA,DA,DA,DA,1,1955.555556,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Beli dvor,3,82,I-II,DA,DA,NA,DA,DA,NA,1951.219512,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Golf naselje,4,164,III-IV,NA,DA,DA,NA,NA,2,1951.219512,1.7-2K,"Golf naselje, Beograd, Srbija",44.7758045,20.4225957
"Novi Beograd, Opština",4,100,III-IV,NE,DA,DA,NE,DA,2,1950,1.7-2K,"Novi Beograd, Opština, Beograd, Srbija",44.8133048,20.4183382
Beli dvor,3,59,I-II,NE,DA,NA,NA,DA,NA,1949.152542,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Novi Beograd, Fontana",4,96,III-IV,NA,DA,DA,DA,DA,NA,1947.916667,1.7-2K,"Novi Beograd, Fontana, Beograd, Srbija",44.8229094,20.4133401
Slavija,1,35,I-II,DA,DA,DA,NA,DA,NA,1942.857143,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
"Vracar, Hram",4,98,V+,NE,DA,DA,DA,DA,1,1938.77551,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Kalemegdan,2,65,I-II,NE,DA,DA,DA,DA,1,1938.461538,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
"Centar, Stari grad",4,92,I-II,DA,DA,DA,DA,DA,2,1934.782609,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Kalemegdan,4,103,I-II,NE,DA,DA,NA,DA,1,1932.038835,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Donji Dorcol,1,29,III-IV,NE,NE,NA,DA,DA,1,1931.034483,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,4,110,III-IV,DA,DA,DA,NA,DA,2,1926.363636,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,3,67,P,NA,DA,NA,NA,DA,2,1925.373134,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Tašmajdan,2,60,III-IV,NE,DA,DA,NE,DA,1,1916.666667,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Beli dvor,3,94,III-IV,DA,DA,DA,NA,NE,2,1914.893617,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Vukov Spomenik,1,80,III-IV,DA,DA,DA,NA,DA,NA,1912.5,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
"Vracar, Kalenic pijaca",2,68,V+,NE,DA,DA,NA,NA,1,1911.764706,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Beli dvor,4,375,I-II,DA,DA,DA,NE,DA,2,1906.666667,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Novi Beograd, Sava Centar",4,160,I-II,DA,DA,DA,NE,DA,2,1906.25,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
"Vracar, Kalenic pijaca",2,52,I-II,NE,NE,NA,NA,DA,1,1903.846154,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Novi Beograd, Sava Centar",2,63,I-II,DA,DA,DA,NE,DA,2,1903.174603,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
"Novi Beograd, Opština",1,41,V+,NE,DA,DA,NA,DA,NA,1902.439024,1.7-2K,"Novi Beograd, Opština, Beograd, Srbija",44.8133048,20.4183382
Profesorska kolonija,2,61,III-IV,DA,DA,DA,NA,DA,1,1901.639344,1.7-2K,"Profesorska kolonija, Beograd, Srbija",44.8159841,20.479218
"Konjarnik, Denkova basta",4,95,III-IV,DA,DA,DA,DA,NA,NA,1900,1.7-2K,"Konjarnik, Denkova basta, Beograd, Srbija",44.7862123,20.5068795
"Novi Beograd, Hotel Jugoslavija",2,40,P,NE,DA,NA,NA,DA,1,1900,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
Lekino Brdo,4,115,I-II,DA,DA,DA,DA,DA,2,1900,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
"Vracar, Kalenic pijaca",1,29,P,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Vracar, Kalenic pijaca",2,54,I-II,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
"Vracar, Kalenic pijaca",1,28,V+,DA,DA,DA,NA,NE,2,1900,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Lekino Brdo,3,52,P,DA,DA,NA,DA,DA,1,1894.230769,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Donji Dorcol,2,66,I-II,NE,DA,DA,NA,DA,1,1893.939394,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Kalemegdan,3,65,I-II,NA,DA,DA,DA,DA,NA,1892.307692,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Autokomanda,2,74,I-II,DA,DA,DA,NA,DA,NA,1891.891892,1.7-2K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Kalemegdan,2,36,I-II,NE,DA,DA,NA,DA,1,1888.888889,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Lekino Brdo,4,90,I-II,DA,NE,NA,DA,DA,2,1888.888889,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Crveni krst,3,89,III-IV,NE,DA,DA,NE,DA,1,1887.640449,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
"Vracar, Kalenic pijaca",3,53,V+,NE,DA,DA,DA,DA,1,1886.792453,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Tašmajdan,1,34,V+,NE,NE,DA,NE,DA,1,1882.352941,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Donji Dorcol,1,16,V+,NE,DA,DA,NA,DA,0,1875,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,1,16,V+,NE,DA,DA,NA,DA,1,1875,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Vukov Spomenik,3,80,I-II,DA,DA,DA,NA,DA,2,1875,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
Donji Dorcol,2,63,I-II,NA,DA,DA,NA,DA,1,1873.015873,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
"Novi Beograd, Sava Centar",2,74,III-IV,DA,DA,DA,NE,DA,2,1871.621622,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
"Vracar, Hram",1,30,P,NA,NE,NA,NA,DA,0,1866.666667,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Kalenic pijaca",1,29,P,DA,DA,NA,NE,NA,2,1862.068966,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Crveni krst,3,78,III-IV,DA,DA,DA,NE,NA,2,1858.974359,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Crveni krst,3,70,V+,NE,DA,DA,NE,DA,1,1857.142857,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Djeram pijaca,1,35,V+,NA,DA,NA,NE,NA,NA,1857.142857,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Slavija,1,35,I-II,NE,DA,DA,NA,DA,1,1857.142857,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Tašmajdan,3,63,P,NE,DA,DA,NE,DA,1,1857.142857,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Tašmajdan,2,42,III-IV,DA,DA,DA,DA,NE,1,1857.142857,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Kalenic pijaca",3,70,I-II,NA,DA,DA,NA,DA,2,1857.142857,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Crveni krst,3,62,III-IV,DA,DA,DA,NE,NA,2,1854.83871,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Crveni krst,2,34,P,DA,DA,NA,NE,NA,2,1852.941176,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
"Vracar, Kalenic pijaca",2,48,III-IV,NE,DA,NA,NA,DA,1,1852.083333,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Crveni krst,3,67,III-IV,DA,DA,DA,NE,NA,2,1850.746269,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Autokomanda,2,55,I-II,DA,DA,DA,DA,DA,NA,1850,1.7-2K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Djeram pijaca,2,50,III-IV,DA,DA,DA,DA,DA,2,1850,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Slavija,2,54,I-II,NE,DA,NA,DA,DA,1,1850,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
"Vracar, Hram",3,65,V+,NE,NE,DA,NA,DA,NA,1846.153846,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Kalemegdan,3,84,III-IV,NE,DA,DA,NA,DA,1,1845.238095,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Djeram pijaca,3,69,III-IV,DA,DA,DA,DA,DA,2,1840.57971,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Djeram pijaca,3,69,III-IV,DA,DA,DA,DA,DA,2,1840.57971,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
Beli dvor,2,50,I-II,NA,DA,NA,NA,DA,2,1840,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Donji Dorcol,3,68,I-II,NA,DA,DA,NA,DA,1,1838.235294,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Donji Dorcol,3,68,V+,NA,DA,DA,NA,DA,2,1838.235294,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Golf naselje,4,147,I-II,NA,DA,NA,NA,NA,NA,1836.734694,1.7-2K,"Golf naselje, Beograd, Srbija",44.7758045,20.4225957
"Novi Beograd, Studentski grad",4,98,I-II,NA,DA,DA,DA,DA,NA,1836.734694,1.7-2K,"Novi Beograd, Studentski grad, Beograd, Srbija",44.8262971,20.39979416
Uciteljsko naselje,2,53,V+,DA,DA,DA,NA,DA,NA,1835.849057,1.7-2K,"Uciteljsko naselje, Beograd, Srbija",44.7863098,20.5082717
Crveni krst,2,48,V+,DA,DA,DA,NE,DA,2,1833.333333,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Profesorska kolonija,2,60,III-IV,DA,DA,DA,DA,DA,NA,1833.333333,1.7-2K,"Profesorska kolonija, Beograd, Srbija",44.8159841,20.479218
"Vracar, Kalenic pijaca",3,90,V+,NE,DA,DA,DA,DA,2,1833.333333,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Cerak vinogradi,3,53,V+,NA,DA,DA,NA,DA,NA,1830.188679,1.7-2K,"Cerak vinogradi, Beograd, Srbija",44.7447844,20.4173697
Donji Dorcol,2,45,III-IV,DA,DA,DA,NA,NA,NA,1822.222222,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Crveni krst,1,22,P,DA,DA,DA,NE,NA,2,1818.181818,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Tašmajdan,1,33,V+,DA,DA,DA,NE,DA,1,1818.181818,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",2,55,I-II,NE,DA,DA,NA,DA,0,1818.181818,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Vracar, Hram",3,77,I-II,NE,DA,DA,NA,DA,NA,1818.181818,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Vukov Spomenik,1,44,I-II,NE,NE,NA,NA,NA,1,1818.181818,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
Vukov Spomenik,3,70,I-II,NE,NE,NA,NA,DA,2,1814.285714,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
Golf naselje,3,110,I-II,NE,DA,NA,DA,DA,NA,1813.636364,1.7-2K,"Golf naselje, Beograd, Srbija",44.7758045,20.4225957
"Konjarnik, Denkova basta",4,80,I-II,NA,DA,DA,DA,DA,NA,1812.5,1.7-2K,"Konjarnik, Denkova basta, Beograd, Srbija",44.7862123,20.5068795
Golf naselje,2,34,III-IV,DA,NE,DA,NE,NA,NA,1811.764706,1.7-2K,"Golf naselje, Beograd, Srbija",44.7758045,20.4225957
Donji Dorcol,4,94,III-IV,NA,NE,NE,NA,DA,2,1808.510638,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Dušanovac,3,52,I-II,DA,DA,DA,DA,DA,2,1807.692308,1.7-2K,"Dušanovac, Beograd, Srbija",44.7863448,20.4795043
Slavija,1,26,V+,NE,NE,NA,NA,DA,1,1807.692308,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Vukov Spomenik,1,28,P,DA,DA,NA,NA,DA,NA,1803.571429,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
Lekino Brdo,3,61,III-IV,DA,DA,DA,DA,DA,1,1803.278689,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
Dušanovac,2,45,P,NE,DA,DA,NA,DA,NA,1800,1.7-2K,"Dušanovac, Beograd, Srbija",44.7863448,20.4795043
"Novi Beograd, Hotel Jugoslavija",3,75,III-IV,DA,DA,NA,NA,DA,2,1800,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
Kalemegdan,2,75,I-II,NA,DA,DA,NA,DA,NA,1800,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Kalemegdan,2,50,III-IV,NE,DA,DA,NA,DA,1,1800,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Lekino Brdo,1,30,III-IV,DA,DA,NA,DA,DA,1,1800,1.7-2K,"Lekino Brdo, Beograd, Srbija",44.7901689,20.484559
"Vracar, Hram",1,30,III-IV,DA,DA,DA,NA,NA,NA,1800,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Profesorska kolonija,2,74,I-II,DA,DA,NE,DA,DA,1,1797.297297,1.7-2K,"Profesorska kolonija, Beograd, Srbija",44.8159841,20.479218
"Centar, Stari grad",3,64,I-II,NA,NE,NA,NA,DA,1,1796.875,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Dušanovac,1,29,P,DA,DA,NE,NA,DA,NA,1793.103448,1.7-2K,"Dušanovac, Beograd, Srbija",44.7863448,20.4795043
Kalemegdan,1,24,III-IV,NE,DA,DA,NA,DA,NA,1791.666667,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Tašmajdan,3,72,V+,NE,DA,DA,NE,DA,1,1791.666667,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",2,67,V+,NE,NE,NA,NA,NA,0,1791.044776,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Novi Beograd, Hotel Jugoslavija",1,43,I-II,DA,DA,DA,NA,DA,2,1790.697674,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
Kalemegdan,2,53,I-II,NA,DA,DA,NA,DA,NA,1790.566038,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
"Centar, Stari grad",1,52,I-II,NE,NE,NE,DA,DA,0,1788.461538,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Kalemegdan,4,94,I-II,NA,DA,DA,NA,DA,NA,1787.234043,1.7-2K,"Kalemegdan, Beograd, Srbija",44.8232255,20.45085515
Autokomanda,4,140,III-IV,NA,DA,DA,DA,DA,NA,1785.714286,1.7-2K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Donji Dorcol,1,28,III-IV,NA,DA,NA,DA,DA,0,1785.714286,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Slavija,1,42,P,NE,DA,DA,NA,DA,1,1785.714286,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Slavija,2,56,III-IV,NE,NE,NA,NA,DA,1,1785.714286,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
"Vracar, Kalenic pijaca",1,37,I-II,NE,DA,NA,NA,DA,1,1783.783784,1.7-2K,"Vracar, Kalenic pijaca, Beograd, Srbija",44.80016,20.475852
Djeram pijaca,2,60,I-II,DA,DA,DA,DA,DA,2,1783.333333,1.7-2K,"Djeram pijaca, Beograd, Srbija",44.8013383,20.48723945
"Novi Beograd, Hotel Jugoslavija",2,46,III-IV,DA,DA,NA,DA,DA,2,1782.608696,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
Autokomanda,1,32,V+,DA,DA,DA,NA,DA,2,1781.25,1.7-2K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Tašmajdan,1,41,III-IV,NE,DA,DA,NE,DA,1,1780.487805,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Tašmajdan,2,50,I-II,NE,DA,NA,DA,DA,NA,1780,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
Uciteljsko naselje,2,45,V+,NA,DA,DA,NA,NA,NA,1777.777778,1.7-2K,"Uciteljsko naselje, Beograd, Srbija",44.7863098,20.5082717
Crveni krst,2,58,I-II,DA,DA,DA,DA,DA,3,1775.862069,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
"Vracar, Hram",4,236,III-IV,NE,DA,NA,NA,NA,2,1775.423729,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
"Novi Beograd, Hotel Jugoslavija",1,40,V+,NE,DA,DA,NA,DA,NA,1775,1.7-2K,"Novi Beograd, Hotel Jugoslavija, Beograd, Srbija",44.829643,20.419644
"Novi Beograd, Sava Centar",4,100,V+,NE,DA,DA,NE,DA,2,1770,1.7-2K,"Novi Beograd, Sava Centar, Beograd, Srbija",44.809051,20.433017
Crveni krst,1,26,I-II,DA,DA,DA,NE,NA,2,1769.230769,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
Beli dvor,3,95,III-IV,DA,DA,NA,NA,DA,2,1768.421053,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
Donji Dorcol,2,56,V+,NE,DA,DA,NA,DA,1,1767.857143,1.7-2K,"Donji Dorcol, Beograd, Srbija",44.8234872,20.4598404
Crveni krst,1,30,V+,DA,DA,DA,DA,DA,1,1766.666667,1.7-2K,"Crveni krst, Beograd, Srbija",44.7978965,20.48663698
"Novi Beograd, Opština",1,34,I-II,NE,DA,DA,NA,DA,1,1764.705882,1.7-2K,"Novi Beograd, Opština, Beograd, Srbija",44.8133048,20.4183382
"Novi Beograd, Studentski grad",1,34,I-II,NA,NE,DA,DA,DA,1,1764.705882,1.7-2K,"Novi Beograd, Studentski grad, Beograd, Srbija",44.8262971,20.39979416
Tašmajdan,1,21,V+,NE,NE,DA,NE,DA,1,1761.904762,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",4,105,III-IV,NE,DA,NA,NA,DA,2,1761.904762,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Beli dvor,4,88,I-II,NA,NE,NA,NA,DA,1,1761.363636,1.7-2K,"Beli dvor, Beograd, Srbija",44.7657035,20.45334305
"Centar, Stari grad",1,50,V+,NA,DA,DA,NA,DA,1,1760,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Tašmajdan,3,91,V+,NE,DA,DA,NE,DA,0,1758.241758,1.7-2K,"Tašmajdan, Beograd, Srbija",44.80912255,20.47062022
"Vracar, Hram",4,239,III-IV,DA,DA,NA,NA,NE,2,1757.322176,1.7-2K,"Vracar, Hram, Beograd, Srbija",44.798155,20.46992
Vukov Spomenik,4,70,III-IV,NE,NE,NA,NA,DA,2,1757.142857,1.7-2K,"Vukov Spomenik, Beograd, Srbija",44.8050568,20.4777413
Profesorska kolonija,2,49,I-II,NA,DA,NA,NA,DA,NA,1755.102041,1.7-2K,"Profesorska kolonija, Beograd, Srbija",44.8159841,20.479218
"Centar, Stari grad",2,53,I-II,NE,NE,NA,NA,NE,1,1754.716981,1.7-2K,"Centar, Stari grad, Beograd, Srbija",44.82532475,20.47629282
Slavija,2,53,III-IV,NE,NE,DA,NA,DA,1,1754.716981,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
Slavija,2,53,III-IV,NE,DA,DA,NA,DA,2,1754.716981,1.7-2K,"Slavija, Beograd, Srbija",44.8020437,20.46723989
